BIN,Network,CardType,CardCategory,Issuer
677680,MAESTRO,DEBIT,,JSC BANK OF ASTANA
677679,MAESTRO,DEBIT,,JOINT STOCK COMPANY BANK CENTERCREDIT
677650,MAESTRO,DEBIT,,SUBSIDIARY BANK SBERBANK OF RUSSIA JOINT STOCK COMPANY
677643,MAESTRO,DEBIT,,JSC FORTEBANK
677498,MAESTRO,DEBIT,,BANKPOZITIV KAZAKHSTAN JSC (SUBSIDIARY BANK OF BANK HAPOALIM B.M.)
677324,MAESTRO,DEBIT,,JOINT STOCK COMPANY NURBANK
677282,MAESTRO,DEBIT,,JSC FORTEBANK
677252,MAESTRO,DEBIT,,JSC ATFBANK
676414,MAESTRO,DEBIT,,JOINT STOCK BANK KAZKOMMERTSBANK
676205,MAESTRO,DEBIT,,JOINT STOCK BANK KAZKOMMERTSBANK
676204,MAESTRO,DEBIT,,JOINT STOCK BANK KAZKOMMERTSBANK
676200,MAESTRO,DEBIT,,JOINT-STOCK HALYK SAVINGS BANK OF KAZAKHSTAN
670990,MAESTRO,DEBIT,STANDARD,BANK KASSA NOVA JSC
667207,MAESTRO,DEBIT,STANDARD,
621414,CHINA UNION PAY,DEBIT,,INDUSTRIAL AND COMMERCIAL BANK OF CHINA ALMATY
621375,CHINA UNION PAY,DEBIT,,INDUSTRIAL AND COMMERCIAL BANK OF CHINA ALMATY
620187,CHINA UNION PAY,DEBIT,PREPAID,INDUSTRIAL AND COMMERCIAL BANK OF CHINA ALMATY
604939,MAESTRO,DEBIT,,
603505,MAESTRO,DEBIT,,
601696,MAESTRO,DEBIT,,
589815,MAESTRO,DEBIT,,JSC BANK TURANALEM
576554,MAESTRO,DEBIT,STANDARD,
568903,MAESTRO,DEBIT,,
559958,MASTERCARD,CREDIT,WORLD BLACK,JSC KASPI BANK
559159,MASTERCARD,CREDIT,,
558291,MASTERCARD,CREDIT,BUSINESS,JOINT STOCK BANK KAZKOMMERTSBANK
557957,MASTERCARD,CREDIT,STANDARD,BANKPOZITIV KAZAKHSTAN JSC (SUBSIDIARY BANK OF BANK HAPOALIM B.M.)
557834,MASTERCARD,CREDIT,STANDARD,JOINT STOCK BANK KAZKOMMERTSBANK
554810,MASTERCARD,CREDIT,,
554532,MASTERCARD,CREDIT,PLATINUM,JSC CAPITAL BANK KAZAKHSTAN
554066,MASTERCARD,DEBIT,STANDARD,TSESNABANK JOINT STOCK COMPANY
553481,MASTERCARD,CREDIT,CORPORATE,JOINT STOCK COMPANY NURBANK
553107,MASTERCARD,CREDIT,BUSINESS,JSC ATFBANK
553089,MASTERCARD,CREDIT,BUSINESS,JOINT STOCK BANK KAZKOMMERTSBANK
552204,MASTERCARD,CREDIT,PLATINUM,JOINT STOCK BANK KAZKOMMERTSBANK
550491,MASTERCARD,CREDIT,STANDARD,BANK KASSA NOVA JSC
549886,MASTERCARD,CREDIT,GOLD,BANKPOZITIV KAZAKHSTAN JSC (SUBSIDIARY BANK OF BANK HAPOALIM B.M.)
549842,MASTERCARD,CREDIT,WORLD,JSC ALTYN BANK
549831,MASTERCARD,CREDIT,WORLD,JOINT STOCK BANK KAZKOMMERTSBANK
548828,MASTERCARD,CREDIT,PLATINUM,JOINT STOCK COMPANY BANK CENTERCREDIT
548763,MASTERCARD,CREDIT,GOLD,JOINT STOCK COMPANY NURBANK
548319,MASTERCARD,CREDIT,GOLD,JOINT STOCK BANK KAZKOMMERTSBANK
548318,MASTERCARD,CREDIT,STANDARD,JOINT STOCK BANK KAZKOMMERTSBANK
548145,MASTERCARD,CREDIT,WORLD BLACK EDITION,JSC CAPITAL BANK KAZAKHSTAN
548000,MASTERCARD,CREDIT,BUSINESS,JOINT-STOCK HALYK SAVINGS BANK OF KAZAKHSTAN
